jobapply,jobarea,jobcompany,jobdate,jobedu,jobexp,jobindcat,jobname,jobsalary
0~5人應徵,台北市內湖區,皆凱科技有限公司,4/24,專科,3年以上,電腦軟體服務業,GoLang Developer,待遇面議
0~5人應徵,新北市汐止區,伍豐科技股份有限公司,4/22,專科,1年以上,電腦及其週邊設備製造業,Backend Developer (golang),待遇面議
0~5人應徵,台北市內湖區,星爵科技有限公司,4/22,專科,經歷不拘,網際網路相關業,Golang Developer,待遇面議
0~5人應徵,台北市內湖區,雲動科技股份有限公司,4/15,大學,經歷不拘,其它軟體及網路相關業,GoLang Developer,待遇面議
0~5人應徵,台北市信義區,思華科技有限公司,4/22,專科,經歷不拘,電腦軟體服務業,Golang Junior開發工程師,"月薪 40,000~60,000元"
0~5人應徵,台北市信義區,思華科技有限公司,4/22,專科,3年以上,電腦軟體服務業,Golang Senior開發工程師,"月薪 80,000~150,000元"
0~5人應徵,台北市中正區,果子云數位科技有限公司,4/20,學歷不拘,經歷不拘,網際網路相關業,Golang 開發工程師,"月薪 40,000~90,000元"
0~5人應徵,台北市南港區,專羿行動股份有限公司,4/19,專科,3年以上,網際網路相關業,Sr. Server Programmer (Golang),待遇面議
0~5人應徵,台北市信義區,躍立管理顧問有限公司,4/24,專科,1年以上,工商顧問服務業,軟體工程師-Golang,待遇面議
0~5人應徵,高雄市前鎮區,河流數位設計有限公司,4/15,專科,3年以上,電腦軟體服務業,Golang 開發工程師,"月薪 40,000~65,000元"
0~5人應徵,台北市中山區,旭海國際科技股份有限公司,4/24,專科,經歷不拘,網際網路相關業,後端工程師 (Golang),"月薪 30,000~40,000元"
0~5人應徵,台北市中正區,現觀科技股份有限公司,3/25,大學,1年以上,電腦軟體服務業,Golang Backend Engineer,待遇面議
0~5人應徵,台北市中正區,果子云數位科技有限公司,4/20,學歷不拘,經歷不拘,網際網路相關業,Golang 高級開發工程師,"月薪 60,000~90,000元"
0~5人應徵,上海市,Moca Technology Limited,4/22,大學,2年以上,網際網路相關業,Golang工程師,待遇面議
0~5人應徵,台北市信義區,誠實蜜蜂_新加坡商誠蜂有限公司台灣分公司,4/15,大學,4年以上,電腦系統整合服務業,Senior Golang Engineer,"月薪 117,000~150,000元"
0~5人應徵,台中市西屯區,凡谷興業有限公司,4/17,專科,經歷不拘,其它軟體及網路相關業,遊戲核心開發工程師(GoLang),"月薪 30,000~60,000元"
0~5人應徵,台北市南港區,專羿行動股份有限公司,4/19,專科,3年以上,網際網路相關業,Sr. Server Programmer (Golang)【外派】,待遇面議
0~5人應徵,台中市西屯區,向雲科技股份有限公司,4/23,大學,3年以上,電腦系統整合服務業,Golang 開發工程師,待遇面議
0~5人應徵,台中市西屯區,興晨國際有限公司,4/24,專科,經歷不拘,其它軟體及網路相關業,Golang 後端工程師,待遇面議
0~5人應徵,台北市內湖區,天下遊戲數位科技有限公司,4/25,學歷不拘,2年以上,電腦軟體服務業,golang 後端工程師,"月薪 35,000~60,000元"
0~5人應徵,台北市信義區,飛騰資訊科技有限公司,4/25,學歷不拘,1年以上,電腦軟體服務業,軟體工程師-Golang,待遇面議
0~5人應徵,台中市西屯區,皇喬集團_長青資訊有限公司,4/18,大學,1年以上,電腦軟體服務業,Golang後端工程師,"月薪 30,000~80,000元"
0~5人應徵,台中市中區,樂志數位有限公司,4/24,專科,3年以上,網際網路相關業,Golang 後端工程師(台中),"月薪 40,000~80,000元"
0~5人應徵,台北市松山區,街口電子支付股份有限公司,4/22,大學,3年以上,網際網路相關業,Golang Engineer(研發替代役可),待遇面議
0~5人應徵,新北市樹林區,尚芳國際興業股份有限公司,4/22,專科,2年以上,數位內容產業,GoLang遊戲Server程式設計師,待遇面議
0~5人應徵,台北市大安區,創曼有限公司,4/03,大學,1年以上,電腦軟體服務業,[RD]Golang資深工程師,"月薪 60,000~90,000元"
0~5人應徵,台北市大安區,鏈科股份有限公司,4/19,學歷不拘,6年以上,電子通訊／電腦週邊零售業,Senior AWS-Oriented Golang Back-End Developer,"年薪 720,000~2,500,000元"
6~10人應徵,台北市信義區,天堂遊戲有限公司,4/25,專科,1年以上,電腦軟體服務業,[RD] Golang 後端工程師--組織擴編,"年薪 850,000~2,000,000元"
0~5人應徵,菲律賓,海思亞太服務股份有限公司,4/22,專科,1年以上,網際網路相關業,高福利！GOLANG工程師（駐菲律賓）,待遇面議
6~10人應徵,台北市中正區,lativ＿米格國際股份有限公司,4/22,專科,經歷不拘,網際網路相關業,後端工程師-Golang(台北),待遇面議
6~10人應徵,台北市信義區,天堂遊戲有限公司,4/25,專科,1年以上,電腦軟體服務業,[RD] Backend Engineer 後端工程師 (Golang)--組織擴編,待遇面議
0~5人應徵,台中市西屯區,順豐科技有限公司,4/22,專科,經歷不拘,網際網路相關業,Golang遊戲伺服端工程師(台中市西屯區),"月薪 45,000~60,000元"
0~5人應徵,馬來西亞,傲勝遊戲股份有限公司,3/20,專科,3年以上,網際網路相關業,KL-【Ｇolang/C++ IM資料層開發工程師】（吉隆坡）,"月薪 112,000~200,000元"
0~5人應徵,馬來西亞,傲勝遊戲股份有限公司,3/20,專科,3年以上,網際網路相關業,KL-【Ｇolang/C++ IM業務開發工程師】（吉隆坡）,"月薪 112,000~200,000元"
0~5人應徵,桃園市中壢區,雲中雲有限公司,4/22,大學,2年以上,其它軟體及網路相關業,golang開發工程師,"月薪 70,000~100,000元"
0~5人應徵,台中市西屯區,皇喬集團_奇迹科技股份有限公司,4/18,學歷不拘,經歷不拘,電腦軟體服務業,Golang後端工程師,"月薪 30,000~50,000元"
0~5人應徵,台中市西屯區,皇喬集團_奇迹科技股份有限公司,4/12,高中,經歷不拘,電腦軟體服務業,Junior Golang 遊戲後端工程師,"月薪 30,000~35,000元"
6~10人應徵,台北市內湖區,竹間智能科技有限公司,4/22,大學,經歷不拘,電腦系統整合服務業,Backend/ Full Stack Engineer (Java/ Python /Golang preferred),待遇面議
